Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept
"Manoa","201630","Spring 2016","UG","ICS","211","Intro to Computer Science II","3","CR"," "," "," "," "," "," ","NI"," ","","ICS CORE-ICS 211( 2016-BA)","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","211","Intro to Computer Science II","3","A","Y"
"Manoa","201630","Spring 2016","UG","ICS","241","Discrete Math for Cmptr Sci II","3","CR"," "," "," "," ","FS"," ","NI"," ","","ICS CORE-ICS 241( 2016-BA)","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","241","Discrete Math for Comp Sci II","3","A","Y"
"Manoa","201630","Spring 2016","UG","MATH","242","Calculus II","4","CR"," "," "," "," "," "," ","NI"," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","MATH","206","Calculus II","4","A","Y"
"Manoa","201610","Fall 2015","UG","CHEM","161","General Chemistry I","3","CR"," "," "," "," "," ","DP"," "," ","DP-DIV-PHYS SCI( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","CHEM","161","General Chemistry I","3","A","Y"
"Manoa","201610","Fall 2015","UG","CHEM","161L","General Chemistry Lab I","1","CR"," "," "," "," "," ","DY"," "," ","DY-DIV-LAB SCI( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","CHEM","161L","General Chemistry I Lab","1","A","Y"
"Manoa","201610","Fall 2015","UG","ICS","141","Discrete Math for CS I","3","CR"," "," "," "," ","FS"," "," "," ","","ICS CORE-ICS 141( 2016-BA)","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","141","Discrete Math for Comp Sci I","3","A","Y"
"Manoa","201610","Fall 2015","UG","JPN","202","Intermediate Japanese","4","CR"," "," "," "," "," "," ","NI"," ","HSL 202( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","JPNS","202","Intermediate Japanese II","4","C","Y"
"Manoa","201530","Spring 2015","UG","ENG","200","Composition II","3","CR","WI"," "," "," "," "," ","NI"," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ENG","200","WI-Composition II","3","A","Y"
"Manoa","201530","Spring 2015","UG","ICS","ELEC","Elective","3","CR"," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","110","Introduction to Programming","3","A","Y"
"Manoa","201530","Spring 2015","UG","ICS","111","Intro to Computer Science I","3","CR"," "," "," "," "," "," "," "," ","","ICS CORE-ICS 111( 2016-BA)","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","111","Intro Comp Sci I","3","A","Y"
"Manoa","201530","Spring 2015","UG","JPN","201","Intermediate Japanese","4","CR"," "," "," "," "," "," ","NI"," ","HSL 201( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","JPNS","201","Intermediate Japanese I","4","B","Y"
"Manoa","201510","Fall 2014","UG","BIOL","DB","Diversification:Biological Sci","3","CR"," "," "," "," "," ","DB"," "," ","DB-DIV-BIOL SCI( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","BIOL","100","Human Biology","3","A","Y"
"Manoa","201510","Fall 2014","UG","HWST","107","Hawaii: Center of the Pacific","3","CR"," "," "," ","H"," ","DH"," "," ","DH-DIV HUM( 2016-BA)","","","",""," "," "," "," "," ","Sch of Hawn, Asian & Pac Stu","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","HWST","107","H-Hi:Center of the Pacific","3","B","Y"
"Manoa","201510","Fall 2014","UG","JPN","102","Elementary Japanese","4","CR"," "," "," "," "," "," "," "," ","HSL 102( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","JPNS","102","Elem Jpnse II","4","A","Y"
"Manoa","201510","Fall 2014","UG","MATH","241","Calculus I","4","CR"," "," "," "," ","FS"," ","NI"," ","FS-SYMBOLIC REASON( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","MATH","205","Calculus I","4","A","Y"
"Manoa","201430","Spring 2014","UG","ICS","ELEC","Elective","3","CR"," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ICS","100","Computing Lit & Apps","3","A","Y"
"Manoa","201430","Spring 2014","UG","JPN","101","Elementary Japanese","4","CR"," "," "," "," "," "," "," "," ","HSL 101( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","JPNS","101","Elem Jpnse I","4","A","Y"
"Manoa","201430","Spring 2014","UG","REL","150","Intro to the World's Major Rel","3","CR"," "," "," "," ","FGC"," "," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","REL","150","Intro to World Religions","3","A","Y"
"Manoa","201430","Spring 2014","UG","COMG","151","Personal and Public Speech","3","CR"," "," "," "," "," ","DA"," "," ","DA-DIV ARTS( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","SP","151","Pers Public Speech","3","A","Y"
"Manoa","201410","Fall 2013","UG","ENG","100","Composition I","3","CR"," "," "," "," ","FW"," "," "," ","FW-WRITTEN COMM( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","ENG","100","Composition I","3","B","Y"
"Manoa","201410","Fall 2013","UG","HIST","151","World History to 1500","3","CR"," "," "," "," ","FGA"," "," "," ","FGA-GLOBAL( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","HIST","151","World History I","3","A","Y"
"Manoa","201410","Fall 2013","UG","HIST","152","World History since 1500","3","CR"," "," "," "," ","FGB"," "," "," ","FGB-GLOBAL( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","HIST","152","World History II","3","A","Y"
"Manoa","201410","Fall 2013","UG","PSY","100","Survey of Psychology","3","CR"," "," "," "," "," ","DS"," "," ","DS-PSY( 2016-BA)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","PSY","100","Survey of Psy","3","A","Y"




